,index,Date,State,Population Staying at Home,Population Not Staying at Home,nTrips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number_of_Trips_1_25,Number_of_Trips_25_250,Number_of_Trips_250_,positive,positiveIncrease,region,Ratio
0,1245449,20200122,AL,807735.0,4080136.0,16164304.0,3480408.0,3874504.0,2156843.0,2708360.0,2596986.0,902492.0,309079.0,107087.0,23934.0,4611.0,12220115.0,416166.0,28545.0,0.0,0.0,S,0.834747070861731
1,1245450,20200122,AK,159711.0,577727.0,2949908.0,874686.0,800754.0,403581.0,411898.0,308836.0,111693.0,25079.0,8213.0,1378.0,3790.0,2490919.0,33292.0,5168.0,0.0,0.0,W,0.7834245048397289
2,1245451,20200122,AZ,1352937.0,5818709.0,25236411.0,6687167.0,6068252.0,3031583.0,3790445.0,3989392.0,1171535.0,305405.0,147048.0,27142.0,18442.0,19577447.0,452453.0,45584.0,0.0,0.0,W,0.8113491658679193
3,1245452,20200122,AR,544871.0,2468954.0,9272794.0,2130987.0,2415655.0,1184837.0,1429620.0,1343605.0,490685.0,181059.0,75534.0,17561.0,3251.0,7161099.0,256593.0,20812.0,0.0,0.0,S,0.819209476329913
4,1245453,20200122,CA,7227607.0,32329438.0,145519407.0,40323676.0,36885229.0,16871766.0,20809450.0,20492587.0,7281951.0,2148748.0,533057.0,114312.0,58631.0,114890121.0,2681805.0,172943.0,0.0,0.0,W,0.8172864782998831
5,1245454,20200122,CO,1142692.0,4552872.0,25056942.0,6408681.0,6346195.0,3041365.0,3864849.0,3838258.0,1046085.0,352056.0,106885.0,27496.0,25072.0,19661090.0,458941.0,52568.0,0.0,0.0,W,0.7993715811111947
6,1245455,20200122,CT,693835.0,2878830.0,13509237.0,3179023.0,3491559.0,1672063.0,2023705.0,2141905.0,758141.0,193956.0,32841.0,5537.0,10507.0,10366350.0,226797.0,16044.0,0.0,0.0,N,0.8057934343130408
7,1245456,20200122,DE,188655.0,778516.0,3709176.0,881793.0,889885.0,469350.0,611443.0,573162.0,213059.0,57480.0,11697.0,786.0,521.0,2852471.0,69177.0,1307.0,0.0,0.0,N,0.8049414219408977
8,1245457,20200122,DC,202257.0,500198.0,3263120.0,1174903.0,808692.0,477764.0,477199.0,255499.0,53420.0,8485.0,3252.0,1400.0,2506.0,2938558.0,11737.0,3906.0,0.0,0.0,N,0.7120712358798784
9,1245458,20200122,FL,3622905.0,17676420.0,74765715.0,18883422.0,18749305.0,9639075.0,12054993.0,10965910.0,3181808.0,846602.0,319956.0,70267.0,54377.0,59326795.0,1166558.0,124644.0,0.0,0.0,S,0.8299051730512587
10,1245459,20200122,GA,1898568.0,8620907.0,37980556.0,8710635.0,9079269.0,4665782.0,6078159.0,6114021.0,2317647.0,626956.0,286276.0,75722.0,26089.0,28533845.0,913232.0,101811.0,0.0,0.0,S,0.8195187497474922
11,1245460,20200122,HI,255003.0,1165488.0,5299994.0,1626270.0,1408321.0,608131.0,741421.0,804609.0,86714.0,16558.0,4767.0,1390.0,1813.0,4384143.0,21325.0,3203.0,0.0,0.0,W,0.8204824951372448
12,1245461,20200122,ID,335673.0,1418535.0,6266268.0,1618550.0,1737683.0,785959.0,909332.0,783054.0,275829.0,100415.0,44146.0,7718.0,3582.0,5051524.0,144561.0,11300.0,0.0,0.0,W,0.808646979149565
13,1245462,20200122,IL,2557808.0,10183272.0,50223171.0,13344215.0,12347858.0,5910053.0,7474388.0,7533864.0,2669456.0,586742.0,261126.0,64035.0,31434.0,39076514.0,847868.0,95469.0,0.0,0.0,M,0.7992471595814483
14,1245463,20200122,IN,1266750.0,5425128.0,26039638.0,6431044.0,6448982.0,3223533.0,3974091.0,3989064.0,1372609.0,406850.0,147793.0,32062.0,13610.0,20077650.0,554643.0,45672.0,0.0,0.0,M,0.8107033630917958
15,1245464,20200122,IA,652932.0,2503213.0,11013995.0,2808414.0,2994204.0,1278053.0,1517652.0,1489924.0,589465.0,214484.0,97896.0,17430.0,6473.0,8598323.0,312380.0,23903.0,0.0,0.0,M,0.7931235732198616
16,1245465,20200122,KS,603162.0,2308343.0,10155057.0,2629435.0,2769806.0,1211011.0,1407389.0,1360310.0,485026.0,170689.0,91249.0,21174.0,8968.0,8017641.0,261938.0,30142.0,0.0,0.0,M,0.7928349770994726
17,1245466,20200122,KY,853688.0,3614714.0,18183230.0,4235020.0,4537609.0,2361151.0,2872504.0,2757097.0,953587.0,311345.0,127786.0,20236.0,6895.0,14006284.0,439131.0,27131.0,0.0,0.0,S,0.808950045228697
18,1245467,20200122,LA,820028.0,3839950.0,17578189.0,4391553.0,4333737.0,2230169.0,2860569.0,2401622.0,868120.0,348241.0,117626.0,19487.0,7065.0,13816028.0,465867.0,26552.0,0.0,0.0,S,0.8240274954087766
19,1245468,20200122,ME,285104.0,1053300.0,4796151.0,1031333.0,1173448.0,582741.0,726126.0,830927.0,328365.0,95055.0,23014.0,2872.0,2270.0,3513648.0,118069.0,5142.0,0.0,0.0,N,0.7869821070469006
20,1245469,20200122,MD,1110295.0,4932423.0,23230913.0,5755023.0,5311838.0,2684289.0,3683242.0,4047292.0,1369718.0,279289.0,73370.0,14264.0,12588.0,17434392.0,352659.0,26852.0,0.0,0.0,N,0.8162590079497338
21,1245470,20200122,MA,1458210.0,5443939.0,31511894.0,8169087.0,8102769.0,3837693.0,4666336.0,4801977.0,1571829.0,292096.0,43282.0,8312.0,18513.0,24775885.0,335378.0,26825.0,0.0,0.0,N,0.7887310169629778
22,1245471,20200122,MI,1896049.0,8099866.0,37840555.0,9307387.0,9062226.0,4522030.0,5975979.0,6118152.0,2081280.0,551455.0,165679.0,39711.0,16656.0,28867622.0,717134.0,56367.0,0.0,0.0,W,0.8103176147456236
23,1245472,20200122,MN,1054482.0,4556697.0,19550660.0,4777492.0,4635822.0,2193921.0,2852770.0,3398447.0,1156028.0,353865.0,140033.0,24429.0,17853.0,14460005.0,493898.0,42282.0,0.0,0.0,M,0.812074788560479
24,1245473,20200122,MS,488475.0,2498055.0,9665492.0,2245533.0,2398337.0,1127626.0,1493858.0,1482840.0,580375.0,221692.0,92826.0,18964.0,3441.0,7265354.0,314518.0,22405.0,0.0,0.0,S,0.8364406183765105
